Time,Epochs,Samples,Obj,GradMap
0.08464622497558594,0,0,1.2969137187104707,0.29595102380989025
0.1193089485168457,2,65122,0.386616795781293,0.07439636446433756
0.15364718437194824,4,130244,0.37219155295559325,0.0717480134826049
0.18855810165405273,6,195366,0.343100759953732,0.06433526797567016
0.2228860855102539,8,260488,0.315487937942889,0.05626248161438187
0.25802016258239746,10,325610,0.29428324922197846,0.050534076081707596
0.29260897636413574,12,390732,0.27667178224093114,0.045930260537574215
0.32903003692626953,14,455854,0.2619832544909715,0.04215146181697296
0.36241722106933594,16,520976,0.2494598848785612,0.038857206762511996
0.3964099884033203,18,586098,0.23872292571183076,0.0321711343526226
0.4308810234069824,20,651220,0.24526930228639704,0.024890029448481944
0.4659881591796875,22,716342,0.23776420700171663,0.02296617304356851
0.5000250339508057,24,781464,0.2339230636237975,0.021797017543404986
0.5349280834197998,26,846586,0.22939295292932554,0.02059935072233444
0.5687360763549805,28,911708,0.2256903277836088,0.0195616008709563
0.6035811901092529,30,976830,0.22219028179682437,0.018588197685149646
0.6379120349884033,32,1041952,0.21906226476577229,0.017695882169542206
0.672745943069458,34,1107074,0.2161926854483022,0.016865608787146404
0.7074790000915527,36,1172196,0.21357980278104383,0.016093392431140968
0.7404220104217529,38,1237318,0.2111864286805621,0.015371713605240901
0.7757081985473633,40,1302440,0.20899322577004936,0.014695750153725921
0.8097920417785645,42,1367562,0.2069785562635225,0.01406091314123991
0.8441660404205322,44,1432684,0.20512528126223148,0.013463494744497428
0.879547119140625,46,1497806,0.2034176511596295,0.012900252090976047
0.9135110378265381,48,1562928,0.20184206789392775,0.012368411060862502
0.947242021560669,50,1628050,0.20038631090798542,0.011865543912465384
0.9832820892333984,52,1693172,0.19903942638639424,0.011389515919810514
1.0179612636566162,54,1758294,0.19779168514207174,0.010938440150764304
1.0571820735931396,56,1823416,0.19663435872878082,0.010510635489618338
1.0922150611877441,58,1888538,0.19555967273326752,0.010104595548927812
1.127406120300293,60,1953660,0.19456065840071454,0.009718961985335233
1.161539077758789,62,2018782,0.1936310304775039,0.009352500596364796
1.194770097732544,64,2083904,0.19276516893763818,0.009004086262752462
1.2302131652832031,66,2149026,0.19195795620860828,0.008672685221715059
1.2659811973571777,68,2214148,0.19120472504492989,0.008357342909381461
1.299828052520752,70,2279270,0.1905012356809328,0.008057175415799074
1.340041160583496,72,2344392,0.18984365406843923,0.007771361614730856
1.376413106918335,74,2409514,0.1892284867043063,0.007499135491174275
1.4096779823303223,76,2474636,0.18865254043849577,0.007239779914018224
1.444303035736084,78,2539758,0.18811289941101922,0.006992622014221354
1.4808969497680664,80,2604880,0.1876068678022817,0.006757028335683382
1.5155529975891113,82,2670002,0.18713203201000847,0.006532403142151269
1.5508100986480713,84,2735124,0.1866861902339726,0.006318184517142541
1.5843172073364258,86,2800246,0.1862672950987056,0.006113840653095438
1.6165411472320557,88,2865368,0.18587345264783015,0.005918868190609422
1.6515371799468994,90,2930490,0.1855029304545077,0.005732790758108772
1.6849682331085205,92,2995612,0.1851541261865669,0.005555157008723256
1.720254898071289,94,3060734,0.1848255525194236,0.005385539014914298
1.7544910907745361,96,3125856,0.1845158412427668,0.005223531219837841
1.7895872592926025,98,3190978,0.18422372641732318,0.0050687490957042865
1.8226768970489502,100,3256100,0.18394802787860404,0.004920827889547644
