Time,Epochs,Samples,Obj,GradMap
0.79659104347229,0,0,0.0019285435978543708,0.00040458028104055783
1.4614813327789307,2,1162024,0.0019119731509039742,0.00039548953557105897
2.128228187561035,4,2324048,0.0018957163933065993,0.00039201658386353746
2.7900002002716064,6,3486072,0.0018797435384660397,0.0003885177341511692
3.4415149688720703,8,4648096,0.001864047249391916,0.0003850895730815509
4.10916805267334,10,5810120,0.0018486200803427626,0.0003817299078822554
4.79133415222168,12,6972144,0.0018334548587502625,0.0003783904374760754
5.462447166442871,14,8134168,0.0018185448453445874,0.00037516272386676884
6.127617120742798,16,9296192,0.0018038831942738197,0.0003719974276901003
6.952664136886597,18,10458216,0.0017894634796662427,0.0003689373697146144
7.663471221923828,20,11620240,0.0017752793391940514,0.0003658903914723125
8.365633964538574,22,12782264,0.0017613249612578054,0.00036290049615676713
9.03796124458313,24,13944288,0.0017475945693870064,0.00035996603689572885
9.704622030258179,26,15106312,0.0017340825849349512,0.00035708543019240247
10.373161315917969,28,16268336,0.0017207836185072806,0.0003541788777746773
11.11770224571228,30,17430360,0.0017076927362115954,0.0003514032205391593
11.923535108566284,32,18592384,0.0016948046152117596,0.000348676981180309
12.629514217376709,34,19754408,0.0016821143873942499,0.00034599880192248363
13.294076204299927,36,20916432,0.0016696173438022085,0.00034351242004564234
14.031189918518066,38,22078456,0.0016573084352508997,0.000340923349133139
14.894915103912354,40,23240480,0.0016451837680602078,0.0003383786217000574
15.599015235900879,42,24402504,0.0016332390715086088,0.00033559043449427447
16.24702215194702,44,25564528,0.0016214711632415468,0.000333136824956861
16.95202612876892,46,26726552,0.0016098750390769862,0.0003307240293916598
17.69084405899048,48,27888576,0.0015984468186155177,0.00032746883535489667
18.396412134170532,50,29050600,0.0015871856414671173,0.0003266174460117288
19.06980299949646,52,30212624,0.0015760800708446209,0.0003239213600456112
19.741305112838745,54,31374648,0.0015651327865836976,0.0003216576535594183
20.431045055389404,56,32536672,0.001554339061199845,0.00031942994041349115
21.095064163208008,58,33698696,0.0015436955653103967,0.0003172373340104628
21.765759229660034,60,34860720,0.0015331990677480143,0.0003150789770075209
22.433023929595947,62,36022744,0.0015228464318948949,0.00031295404011402766
23.084818124771118,64,37184768,0.001512634612182301,0.00031086172094955695
23.7419490814209,66,38346792,0.0015025606507466356,0.0003088012429559532
24.37949514389038,68,39508816,0.0014926216742339104,0.0003067155346728586
25.018907070159912,70,40670840,0.0014828150619737232,0.00030471760183547656
25.65401816368103,72,41832864,0.0014731379221223622,0.00030274930872103924
26.28742218017578,74,42994888,0.0014635876173189398,0.0003008099724091187
26.92703914642334,76,44156912,0.001454161583255822,0.0002988989310914388
27.576897144317627,78,45318936,0.0014448573261185513,0.00029701554325867836
28.225033283233643,80,46480960,0.0014356724201341842,0.00029515918692425393
28.869513273239136,82,47642984,0.0014266045052226586,0.0002933292588841235
29.55323100090027,84,48805008,0.0014176512847461202,0.00029162522178861997
30.24438500404358,86,49967032,0.0014088102342547436,0.0002898445766166073
30.920597076416016,88,51129056,0.0014000794782373384,0.000288088685928243
31.581008195877075,90,52291080,0.001391456897377726,0.0002863570143519218
32.23534417152405,92,53453104,0.0013829404277029085,0.00028464904207716385
32.88360118865967,94,54615128,0.0013745280587548492,0.00028296426429043857
33.53477597236633,96,55777152,0.0013662178318352284,0.0002813021906348239
34.23968315124512,98,56939176,0.0013580078383197828,0.000279617247936766
34.93805527687073,100,58101200,0.0013498963429913761,0.0002779999805255636
