Time,Epochs,Samples,Obj,GradMap
0.7489128112792969,0.0,0,0.062105452222077424,0.01568585231285274
1.4947588443756104,4.0,2324048,0.061879005822780456,0.01558719163305973
15.482967138290405,6.00125298616908,3486800,0.015310046225707651,0.0019680910614346845
29.16951894760132,8.002505972338158,4649552,0.01006905251829631,0.0011070692487006846
43.574012994766235,10.003758958505893,5812304,0.007762713756390673,0.0007706137413662688
48.86898994445801,14.609157814295076,8488096,0.007289996408047123,0.0007054510872689157
62.736685037612915,16.610410800462812,9650848,0.006125310969888087,0.0005511907098305589
77.34039497375488,18.611663786630547,10813600,0.005330488149086619,0.00045160338047862297
91.6490638256073,20.612916772798282,11976352,0.004749504764149884,0.00038212848456113126
97.12481594085693,25.218315628587465,14652144,0.0046025647163539015,0.0003650419776725017
111.36300492286682,27.2195686147552,15814896,0.004187969422640899,0.0003179592050694714
126.02996301651001,29.220821600922935,16977648,0.0038561602669807053,0.0002815549010111462
139.4962019920349,31.22207458709067,18140400,0.003582255556202148,0.00025242909712467406
144.76903915405273,35.82747344287985,20816192,0.003508474560717335,0.0002447339722118899
158.56018781661987,37.82872642905296,21978944,0.0032897224701036597,0.0002223104088334132
172.0274817943573,39.82997941522608,23141696,0.003102273072254076,0.00020358434662005927
185.47024989128113,41.83123240139919,24304448,0.0029395373719602554,0.00018771086813829696
190.9860429763794,46.43663125719,26980240,0.0028943330311848228,0.0001833679076178877
203.92104291915894,48.437884243363115,28142992,0.0027572639178670083,0.00016278127866862786
217.32057690620422,50.43913722953623,29305744,0.0026355507258978327,0.00015907957007534347
231.0123529434204,52.44039021570934,30468496,0.0025261573812246844,0.00014912170698971956
236.18477582931519,57.04578907150015,33144288,0.002495210223440067,0.00014633912584277505
249.67448902130127,59.047042057673266,34307040,0.0023995666864545166,0.00013783887949204735
262.9806590080261,61.04829504384638,35469792,0.002312714997094596,0.00013025267979652097
276.60777282714844,63.049548030019494,36632544,0.0022334279834204883,0.00012344190785425977
281.87421798706055,67.6549468858103,39308336,0.002210731587944591,0.00012151260346168553
295.8493769168854,69.65619987198342,40471088,0.0021398318086562423,0.00011554589344806692
310.8540749549866,71.65745285815653,41633840,0.0020744524446754445,0.00011012567739474873
325.1564950942993,73.65870584432965,42796592,0.0020139401258359693,0.00010518144969175395
330.30482506752014,78.26410470012046,45472384,0.0019964722744547922,0.00010376731876930061
343.8567280769348,80.26535768629357,46635136,0.001942393338734637,9.942462458726979e-05
356.9809548854828,82.26661067246668,47797888,0.0018910602943105184,9.535934355079946e-05
371.1184310913086,84.2678636586398,48960640,0.0018430613195056442,9.160655420124421e-05
376.155770778656,88.8732625144306,51636432,0.0018291179274875966,9.052529921056032e-05
389.5549261569977,90.87451550060372,52799184,0.001784971328457089,8.712898616441899e-05
402.8281009197235,92.87576848677683,53961936,0.0017434576755346112,8.397313062671567e-05
416.21590089797974,94.87702147294995,55124688,0.0017043326049464625,8.103314375732266e-05
421.6819760799408,99.48242032874076,57800480,0.001692911549982126,8.01813181347957e-05
425.4818561077118,100.00057830138267,58101536,0.001683311661880654,7.946756546926222e-05
