Time,Epochs,Samples,Obj,GradMap
0.7186050415039062,0.0,0,0.0019285435978543708,0.0011762415120034101
1.457838773727417,4.0,2324048,0.0019153306118942063,0.0011683134970981062
17.18154788017273,6.00125298616908,3486800,0.0001595802320083078,0.0001299577182334128
32.52686381340027,8.002505972338158,4649552,7.912648485353796e-05,7.148048377782238e-05
47.81147074699402,10.003758958505893,5812304,5.1455393039852e-05,4.931295334280084e-05
54.18635964393616,14.609157814295076,8488096,4.639167732759311e-05,4.506382321555756e-05
71.07980179786682,16.610410800462812,9650848,3.482155394405517e-05,3.507247429869761e-05
86.66344785690308,18.611663786630547,10813600,2.771213360118643e-05,2.8686189411892183e-05
101.69126391410828,20.612916772798282,11976352,2.2926349246125035e-05,2.4253587638541417e-05
107.66787576675415,25.218315628587465,14652144,2.1773064259871045e-05,2.3166652910359575e-05
122.4887957572937,27.2195686147552,15814896,1.8645088499552035e-05,2.0177058109451177e-05
137.366201877594,29.220821600922935,16977648,1.6273293953574567e-05,1.7865218042097567e-05
152.87115693092346,31.22207458709067,18140400,1.4416407171593283e-05,1.602444194128544e-05
158.7956027984619,35.82747344287985,20816192,1.3931145661591739e-05,1.553854178206932e-05
173.57774782180786,37.82872642905296,21978944,1.2530349728946988e-05,1.4123641385903739e-05
188.91691374778748,39.82997941522608,23141696,1.1375879359071058e-05,1.294285836067211e-05
203.65335607528687,41.83123240139919,24304448,1.0409004374648345e-05,1.1942802719278745e-05
209.08097887039185,46.43663125719,26980240,1.0146250572730189e-05,1.1669161366460836e-05
223.0593228340149,48.437884243363115,28142992,9.36294390142722e-06,1.0848372278602228e-05
236.54124903678894,50.43913722953623,29305744,8.687687729037554e-06,1.0134465820625454e-05
250.42933201789856,52.44039021570934,30468496,8.099946658736997e-06,9.507926328404501e-06
255.9909508228302,57.04578907150015,33144288,7.936581041151728e-06,9.332886578586251e-06
270.060672044754,59.047042057673266,34307040,7.439825829700624e-06,8.798144392970174e-06
284.4153559207916,61.04829504384638,35469792,6.9994622814239895e-06,8.320840561793475e-06
298.6323719024658,63.049548030019494,36632544,6.606546172538356e-06,7.892231332437998e-06
304.3053607940674,67.6549468858103,39308336,6.495682495839301e-06,7.770811617372075e-06
318.6465148925781,69.65619987198342,40471088,6.154045841649896e-06,7.39525225829819e-06
332.2339267730713,71.65745285815653,41633840,5.845352148593405e-06,7.0540330414912745e-06
345.79354071617126,73.65870584432965,42796592,5.565124920824636e-06,6.742669289849572e-06
351.03280997276306,78.26410470012046,45472384,5.485216301505091e-06,6.6535915783969585e-06
364.29595494270325,80.26535768629357,46635136,5.2365924615931895e-06,6.375756384034113e-06
377.96858191490173,82.26661067246668,47797888,5.008776998072015e-06,6.119845585972491e-06
392.4193398952484,84.2678636586398,48960640,4.799297981996735e-06,5.883512026675249e-06
398.1574547290802,88.8732625144306,51636432,4.739092559355047e-06,5.815402321494412e-06
411.8051998615265,90.87451550060372,52799184,4.550424450963608e-06,5.6012758285944274e-06
427.8025619983673,92.87576848677683,53961936,4.37572130959983e-06,5.402364302001329e-06
445.18884468078613,94.87702147294995,55124688,4.213500905252041e-06,5.216981682620759e-06
451.0962769985199,99.48242032874076,57800480,4.16659170439209e-06,5.16324719646637e-06
455.67301988601685,100.00057830138267,58101536,4.127321175854728e-06,5.1182201164215404e-06
